amfi_code,cagr_5yr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,mdd_rank,fund_score
100016,0.023168434686413164,-0.20151706755966936,-0.08969879640543672,0.7884407334841197,-0.24734440880673303,37.0,35.0,32.0,7.0,26.95
100025,0.03912652604315703,-0.5670947928476846,0.03319866074294831,0.06071304883828607,-0.04308263824636349,36.0,39.0,22.0,37.0,28.649999999999995
100033,0.260740682788986,1.093698743534631,0.11442300096849978,0.9915895273399906,-0.16217208574644848,7.0,7.0,4.0,21.0,6.75
101206,0.20442729550832484,1.0272133278753695,0.09744276980996124,0.7370150749441956,-0.11291596329323073,12.0,9.0,7.0,32.0,10.45
101207,0.0695333570223926,0.16266076928646772,-0.35074122431691096,2.8781840749412004,-0.3544691649336603,27.0,28.0,40.0,3.0,23.400000000000002
101208,0.05705734207350055,-0.8155673679088263,0.06103184313333541,-0.0010198340079364259,-0.0016224980244717857,32.0,40.0,15.0,38.0,26.400000000000002
102885,0.1587882255741997,0.8170993373494367,0.07188210134066052,0.616292265757131,-0.1085986215250232,18.0,16.0,11.0,34.0,14.999999999999998
102886,0.010303498015576507,-0.20583160785470309,-0.1156784482249716,0.9014414037954364,-0.2800112356639287,40.0,36.0,36.0,6.0,28.8
102887,0.146781096489218,0.6195175900829828,0.024546563427794304,0.8682864578367645,-0.21539827112383225,20.0,22.0,24.0,11.0,17.400000000000002
118632,0.2088111809083788,1.0816591793457042,0.057106039669331816,1.0119847058962186,-0.17414075086657232,11.0,8.0,16.0,18.0,10.3
118633,0.14188358083768593,0.6452074382933215,0.04422646866006804,0.698535228576799,-0.18629743138595511,22.0,21.0,18.0,15.0,16.95
118634,0.14274127320122987,0.44843400890899127,-0.17834516605752684,2.2420162446678216,-0.2334488614483311,21.0,26.0,37.0,9.0,21.1
118635,0.13914386506748544,0.664856998549062,0.05179487547677479,0.6258420867428852,-0.1165062450540909,23.0,19.0,17.0,31.0,18.15
118636,0.046639279794601585,-0.3566295075143678,0.03495242125822959,0.09956905729843599,-0.08316361763638702,35.0,38.0,20.0,35.0,27.5
119092,0.055825550357928355,0.03078485095458594,-0.115018727162994,1.1590213318629516,-0.1440161790933726,33.0,31.0,35.0,26.0,27.25
119093,0.06917406025598449,0.12961449795669328,-0.0781152813660859,1.0139262119982864,-0.21751396370148224,28.0,29.0,30.0,10.0,22.65
119094,0.24445308534360555,0.9982309868636413,0.016867230962721087,1.520896481602754,-0.20960883862039192,9.0,11.0,27.0,13.0,12.15
119095,0.013376247776951455,-0.0759735711747892,-0.3056243461244477,2.2108490756850485,-0.5167775370852656,39.0,33.0,39.0,2.0,27.95
119120,0.051644356698553606,-0.22657538662791576,0.04251454061462542,0.08487388027964798,-0.04328728923970093,34.0,37.0,19.0,36.0,26.85
119551,0.22384873172214603,1.2082665673727175,0.14151304739808193,0.5629308778564813,-0.1501238549864533,10.0,4.0,2.0,24.0,6.800000000000001
119552,0.18713118910689763,0.9532794968660104,0.06197305331497181,0.8546331906290231,-0.11803493502764295,15.0,12.0,14.0,30.0,13.3
119598,0.28033223731546975,0.9453082575156095,-0.08812721951686422,2.457368834340668,-0.2870600572176455,2.0,14.0,31.0,5.0,10.8
